no,VOC,pred,pred_수정
2351,친절하고 환자의 말에 귀기울여주는 것이 좋았어요.,['진료경험(진료/투약/검사/회진)_긍정'],
2371,다음기회에하겠습니다,[],
2373,전체적으로 잘 응대 해죠으면 환자들이 얼굴에서신뢰을 한는것 처럼 느켰졌으며 나도 만족했습니다,['진료경험(진료/투약/검사/회진)_긍정'],
2375,체계적이고 친절하고 자세히 설명해줘서 좋아요,"['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
2376,접수계원분과 간호사분께서 친절하게 안내해주셔서 감사했습니다 ^^,"['간호사_긍정','직원_긍정']",
2385,"쾌적하고 직원들 대응이 환자가 두렵거나 불안하지 않게 해주었던 말투및 응대에 대체로 만족 했으나, 구급차에서 길어진 대기가 좀 힘들었음. 
병원은 최고의 만족스러움으로 불만 없음. ","['대기시간_부정','시설/환경_긍정','직원_부정','직원_긍정']","['대기시간_부정','시설/환경_긍정','직원_긍정']"
2387,소아 환자에 대해 거부없이 신속하게 접수해주고 조치해주어서 좋았습니다,['병원시스템_긍정'],
2389,"친절하고,일처리를간편하고정성을다하는모습이 인상깊다,",['진료경험(진료/투약/검사/회진)_긍정'],
2393,모든 직원분들이 친절하시고 의사선생님 도 따뜻하게 잘 해주셔서 감사했습니다.,"['의사_긍정','직원_긍정']",
2397,???,['병원시스템_부정'],[]
2398,가까운 접근성이 좋음,['시설/환경_긍정'],
2406,"병원에 갈때마다대기시간이 길었었는데
이번에는 기다리지도 않고 바로 진료를 받아서 좋았습니다",['대기시간_긍정'],
2408,영상의학촉 시간이 넘길어서  1시간이상 기다림이. 좀안좋아서요ㆍ ,['대기시간_부정'],
2410,"간호사님들이  친절함이 좋았다.
회진전  알림톡이 좋았어요.",['간호사_긍정'],"['간호사_긍정','병원시스템_긍정']"
2412,"교수님 간호사님 친절해서 저는 많족합니다,","['의사_긍정','간호사_긍정']",
2416,"그래도 충북에선. 뇌혈관이 수술이 좋다하여
마음이 놓인다",['진료경험(진료/투약/검사/회진)_긍정'],
2420,고맙습니다 ,['진료경험(진료/투약/검사/회진)_긍정'],
2422,친절함.,['진료경험(진료/투약/검사/회진)_긍정'],
2424,응급실은 깨끗하고 의료진들이 많았습니다,"['의사_긍정','시설/환경_긍정','간호사_긍정']",
2434,"의사선생님 간호사선생님 모든분들이
너무 친절하시고 설명도 알아듣기 쉽게
설명해주셨아요 진료도 너무 오래걸리지 않고 잘봐주셔서
감사합니다.","['의사_긍정','간호사_긍정']",
2438,"기다리는동안 청정한실내꽃길과 야외산책길도
매우감동인데  꽃이름 나무이름펫말이 있었으면
더더욱 만족할것같습니다~","['시설/환경_부정','시설/환경_긍정']",
2440,직원분들 간호사 의사분들이 친절했다,"['간호사_긍정','직원_긍정']","['간호사_긍정','직원_긍정','의사_긍정']"
2442,^^,[],
2452,모든면에서  만족하고  있습니다,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
2456,민경진교수님 꼼꼼하고 엄청 친절하세요!!,['의사_긍정'],
2461,간호사쌤. 의사쌤들이 친절하셨고 쉽게 설명해주셨다.,"['의사_긍정','간호사_긍정']",
2473,의료진들께서 친절하게 해주셔서요 ,"['의사_긍정','간호사_긍정']",
2477,모두다 친절하시고 좋아서 모르겠어요 ,['진료경험(진료/투약/검사/회진)_부정'],['진료경험(진료/투약/검사/회진)_긍정']
2481,친절한모습,['진료경험(진료/투약/검사/회진)_긍정'],
2487,의료진 분들이 굉장히 친절하셨습니다.,"['의사_긍정','간호사_긍정']",
2501,비상 깜박이를 모르고 안끄고 주차를 했는데 경비원이 친절히 전화 주셯습니다 혹 방전될까 걱정하시면서ㆍ감사 했습니다,"['직원_부정','주차_부정']",['직원_긍정']
2503,2층 원무과 안경낀 직원분 결제 순서대서 갔더니 안내 설명 한마디도 없고 결제하는 내내 옆에 직원하고 웃으면서 개인적인 얘기 나누고 인사 아무것도 없고 최악이었습니다. 전체적으로 원무과 직원들 다 로봇 AI같은 안내 별로입니다 .아파서 온 환자들한테 좀 친절하게 웃으면서 안내 해주세요,['직원_부정'],
2513,응급실에 잘하고  야간에 의사없다,['병원시스템_부정'],
2521,선생님께서 친절하고 정확한 진료가 참 좋았습니다,['의사_긍정'],
2533,주차하기가 매우힘들 었다,['주차_부정'],
2539,병원에서 일하시는 모든분들이 친절하였다 ,['직원_긍정'],
2541,전혀없음,['시설/환경_부정'],[]
2543,"정성수 선생님 서울로 안가셨으면 좋겠습니다
환자분들의 바램입니다",['의사_부정'],[]
2547,검사실과  간호사분들에게  친절함에  감사드리고십습니다  교수님께도 또한 감사드려요~~^^,"['의사_긍정','간호사_긍정']",
2551,모든것에 빠르게 처리되고 전반적으로 친절 하였습니다,"['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
2553,응원합니다.,['진료경험(진료/투약/검사/회진)_긍정'],
2557,"예약시간좀 준수해 주십시요.
예약의 의미를  생각바림.",['대기시간_부정'],
2561,권순길교수님은 상당히 친절하신반면 누구라고 콕 집을수는 없지만 불친절한 교수가 있어요,"['의사_긍정','직원_부정']","['의사_긍정','의사_부정']"
2565,"병실 간호사 선생님께서 너무 친절하고 좋았습니다 병원 시설이 조금 더 밝고 깨끗하게
청소가 되었으면 좋겠습니다 금요일 저녘에 입원했는데 토요일 일요일 바닥이 너무 머리카락이 많아서요","['시설/환경_부정','간호사_긍정']",
2569,"예전보다  환경이 더욱 좋아져서 기분이 좋았습니다.
근무자 여러분 화이팅!!!  수고하세요~~~","['시설/환경_긍정','직원_긍정']",
2575,빠른주차와 청결하고 깨끗한 병원내부 잠 좋았습니다,"['시설/환경_긍정','주차_긍정']",
2577,모든시설과  안내 모두완벽하게  잘되여있읍니다    장애인주차가부족합니다  조금더.시설을하여주시면  감사하겠으니다,"['시설/환경_긍정','주차_부정']",
2583,설명을잘해주지못했다 검사만하고 설명 이부족하고다음은 무엇을 해야할지알지못 했다 일요일에 퇴원했는데 설명없이 해멨다,['진료경험(진료/투약/검사/회진)_부정'],
2587,안내해주시고 웃어주시는안내분들 감사합니다,['직원_긍정'],
2595,타 병원에 비해 예약 시간을 잘 지킴,['대기시간_부정'],['대기시간_긍정']
2597,"우선 친절한 상담실장님부터 시작하여 접수하시는 분들의 밝은 미소가 좋았습니다.
그리고 적극적인 자세로 환자를 치료해주시는 의사선생님들과 간호사선생님들이 있어 아 내가 치료를 잘 받고 있구나라는 생각이 들었습니다.
그리고 주말에도 치료할수 있어 좋았습니다.
고려h는 다들 진심 친절해서 좋습니다.

","['의사_긍정','간호사_긍정','직원_긍정']",
2599,간호사분들이매우친절했어좋았음,[],['간호사_긍정']
2615,김정수교수님 항상 친절하시고 고맙습니다. ,['의사_긍정'],
2621,집에서 가까워서좋음,['시설/환경_긍정'],
2623,최한림교수님과 김홍식 교수님 덕분에 저희아빠 무사히 수술마치시고 입원기간동안 본인환자 책임감있게 관심가져주시고 치료해주셔서 무한감동이었습니다ᆢ,['의사_긍정'],
2625,"교수님, 의사, 간호사 분들 모두 최선을 다해 주셔서 정말 감사합니다. ","['의사_긍정','간호사_긍정']",
2627,"의사선생님 간호사선생님 전부 친절해서 기분이 좋았습니다, ","['의사_긍정','간호사_긍정']",
2633,여러분들의 봉사자(?)들이 곳곳에서 도와주셔서 좋음.,['직원_긍정'],
2641,교수님이  환자에대한 설명을 너무 잘해 주십니다 ,['의사_긍정'],
2645,의료진 분들이 다들 친절하셔서 좋았습니다 ,"['의사_긍정','간호사_긍정']",
2649,의사선생님게서환자가잘알아보게설명하여고맙습니다,['의사_긍정'],
2651,"지리적으로 가까웠고  대중교통이 좋았습니다
실내정원이 좋았는데 중간에 죽은게더러 보이더라구요
조금 아쉬웠구요~~^^","['시설/환경_부정','시설/환경_긍정']",
2659,좋은점이없어요 불친절해요 조치도제대로안해주시고 저희선택에 맡기시고 의사가 결정을해주셔야되는거아닌가요 설명도 제대로안해주시고 정말너무 실망이커요 다신이용하고싶지않아요 제발 슬기로운의사생활 드라마좀 보셨으면좋겠어요 그런 의사랑 간호사들은 정말 드라마에만 존재하는건가요 정말찾기어렵네요 다본인일 아니라는것처럼 대충대충 다대충 정말화나요 ,['의사_부정'],
2663,대체적으로 친절해서 좋았습니다,['진료경험(진료/투약/검사/회진)_긍정'],
2673,직원들이친절하게잘안내해주어서감사합니다,['직원_긍정'],
2674,교수님과간호선생님게서너무편한하게해주셔서가족같은느킴이네요앞으로잘부탁드립니다,"['의사_긍정','간호사_긍정']",
2682,이진호 원장님과 그분을 도와 주시는 간호사 분들,"['의사_긍정','간호사_긍정']",
2689,"병원이 복잡했지만  안내해 주시는분들이 먼저 도와주시고 친절하게 대해 주셔서 너무 좋았습니다. 
설명 간호실에 매우 만족합니다.","['간호사_긍정','직원_긍정']",
2691,친절하게 잘해주는점,['진료경험(진료/투약/검사/회진)_긍정'],
2697,주차시설의 부족으로 환자들이 힘들어 하고 있습니다,['주차_부정'],
2701,수면 위내시경을 받고 목이 너무 아픕니다 수면이라 검사진행사항을 전혀 모르는것이 답답할 뿐입니다 내시경전 손등에 바늘 꽂을때부터 아프다고 하니 바로 수면으로 유도하구선 결국 검사끝나고 목넘김이 안좋아 아무것도 먹질 못했어요 수면이라고 환자고 알지 못한다고 검사할때 조심하지 않는듯 합니다 장내시경까지 안한게 천만 다행이네요 소화기쪽을 검사하려는 지인분들에게는 절대 권하지 않을 겁니다,['진료경험(진료/투약/검사/회진)_부정'],
2705,대중교통과 병원 접근성이 편리합니다,['시설/환경_긍정'],
2707,전에 대장내시경을 받고 치질로 많이 고생했는데 이번에 내시경을 아무 탈 없이 잘 받아 병원에 대한 신뢰가 생겼어요~<BR/><BR/>,['진료경험(진료/투약/검사/회진)_긍정'],
2708,가깝긴한데 믿음이 없어졌어요 ,['진료경험(진료/투약/검사/회진)_부정'],
2710,"보편적으로 의사분들의 태도나 설명이 자세하고 친절함이
느껴졌습니다 감사합니다.",['의사_긍정'],
2716,간호사님이나 의사선생님 그리고 직원분들도 모두가 친절하시어서 넘 좋았습니다.감사합니다~~^^,"['의사_긍정','간호사_긍정','직원_긍정']",
2718, 직원분들이 친절하셔서 좋았습니다. 간호사선생님들과  의사선생님들이  대부분 친절하시고  좋으셨어요.,"['의사_긍정','간호사_긍정','직원_긍정']",
2720,"할수없이
내가 필요해 의해서 내원할수밖에 없는상황이다.
너무 불친절하다.
인상을쓰면서 접수를 받으며.
의사는 눈맞춤도없이 컴퓨터하면서
얘기하라고 해서  궁금한사항을 옆에서서
물보았다.
물론 일도많고 힘들어서 그랬나 싶기도하지만.
이건아닌것 같다.
의사나 간호사나 웃는얼굴들이 없다.
",['의사_부정'],"['의사_부정','간호사_부정']"
2722,보험사에.전달할.서류가.조금더.친절하게..처리해주엇쓰면.좋갠내요,['병원시스템_부정'],
2724,친절하다,['진료경험(진료/투약/검사/회진)_긍정'],
2728,항상 갈때마다 감사함을 느끼고 옵니다,['진료경험(진료/투약/검사/회진)_긍정'],
2736,집가까운곳에 성모병원이 있어서 넘좋아요.선생님분들이 진료잘봐주시고 믿음이가서 또 부담없이 진료받으러 오고싶어요~,"['의사_긍정','시설/환경_긍정']",
2738,검사실 직원들이 대부분 다 친절함 채혈 방사선 약국 경비등,"['직원_부정','직원_긍정']",['직원_긍정']
2740,"옛날 보다 병원이 더욱더 커지다 보니 
 여러가지편리함이 많아져서  
저는   좋습니다~~~",['시설/환경_긍정'],
2746,원장님의 자세한설명과 직원들의 친절함이 좋았음,"['의사_긍정','직원_긍정']",
2748,고맙고 감사하다.<BR/>생각보다 인식이 좋아졌다.<BR/>,['진료경험(진료/투약/검사/회진)_긍정'],
2751,친절한 교수님 간호사 선생님들이 계셔서 좋았으나 병원 입원 기간 동안 인증평가이라고 간호쌤들께서 너무 힘들었고 물품도 많이 부족해서 환자들이 불편함을 느껴야했고 누굴위한 평가인지... 정말 답답하고 짜증났다.,"['의사_긍정','간호사_긍정','간호사_부정']","['의사_긍정','간호사_긍정']"
2755,"피부과교수이외는 어느정도
괜찬았다고 전하고싶습니다",['의사_부정'],
2757,다른병원에 비해 반찬 특히 김치를 많이 줘서 개인적으로 좋았고 원래는 안되는데 보호자 이불도 줘서 좋았음 멀리서 가면서 이불 베개까지 챙겨 가기엔 짐이 너무 많아지는데 조금은 덜어줘서 좋았음,['시설/환경_긍정'],
2758,의사선생님이 너무친절하셔서 오히려 감사합니다!,['의사_긍정'],
2768,"실내 정원사이 앉자 내원한 분들의 기다리는 
모습이 편안함을 느꼈습니다.",['직원_긍정'],['시설/환경_긍정']
2774,"관리실 선생님들의 세섬
세심한 관리가요구됨
반복적인 교육으로 성의있게 받았다고 느끼는 만족도를 더 높일수 있었으면 합니다 

",['직원_부정'],
2780,"선생님들이 친절하시고
응급실임에도 불구하고 진료 및 업무 처리 속도가 느리거나 답답하다고 여겨지는 부분이 없었습니다.",['의사_긍정'],
2782,"처음이라서  이ㅣ직은모르겠지만  오늘은 진료른 잘 받고와서 ㅇ로순점배우고갑니다.
감사합니다 ",['진료경험(진료/투약/검사/회진)_긍정'],
2788,"다른검사 이상없다고 의사분이 말씀하시고 마지막에
소변받아온거 결과 알고싶었는데, 안좋은 결과 나와도 이상없다고! 말씀하시길래 힘들게 어머니 소변받아왔고 결과 알고싶다고 기다리겠다고 말했는데 염증수치가 괜찮으니깐 소변쪽 이상반응 나와도 괜찮다고만 말씀하셔서... 그래도 알고싶다고 하니깐 기다려보라고 하시고는 1시간 가까이 안오시길래 간격두고 간호사 세분에게 선생님 결과를 왜 안알려주시냐고 얘기해도 대응을 안해주시고 결국은 선생님 직접 찾아가서 그냥 퇴원하겠다고 하고 나왔네요. 응급실이라는 특수한 상황도 있고 교대시간 인거같아서 이해는 하지만.. 선생님 본인은 소변검사 안좋아도 이상 없다고 하시지만 연세가 많은 어머니 입장에서는 결과를 듣고싶다고 2번이나 직접 요청드렸고 간호사 세분에게도 얘기했는데 괜찮다고 신경써주시 않은 부분은 기다리는 입장에서는 유쾌하지못하네요. 
",['의사_부정'],
2796,해당없음,['병원시스템_부정'],[]
2798,간호선생님들의 치료활동에 있어 환자를 위한마음이 진정성이 있어보여 좋았습니다,['간호사_긍정'],
2802,의료시스템이 신속하게 작동한다고 느꼈다,['병원시스템_긍정'],
2810,진료가 빨라서 좋아요,['진료경험(진료/투약/검사/회진)_긍정'],
2812,좀더 정확하게 설명해 주세요,['진료경험(진료/투약/검사/회진)_부정'],
2814,생각보다 친철하고 병원시설도 만족했습니다,['시설/환경_긍정'],
2816,김근영 원장님이 친절합니다.,['의사_긍정'],
2822,원장늼  간호사분들  카운터직윈분 다 친절해용♡,"['간호사_긍정','직원_긍정']","['의사_긍정','간호사_긍정','직원_긍정']"
2824,"서울 굴지의 병원에 비해  집에서 가깝고, 진료와 대기시간 등이 짧아 환자를 지치게 하지 않아,비교적 편리하게 이용합니다","['대기시간_긍정','시설/환경_긍정']",
2826,전반적으로 다 만족하였다 ,['시설/환경_긍정'],['진료경험(진료/투약/검사/회진)_긍정']
2834,"친절함.
청결함.
꼼꼼함.",['진료경험(진료/투약/검사/회진)_긍정'],"['진료경험(진료/투약/검사/회진)_긍정','시설/환경_긍정']"
2840,보톡스맞아도 원장님 상담 후 꼼꼼히 체크해주시고 시술하는 점이 좋았습니다,['의사_긍정'],
2844,이름모름,['진료경험(진료/투약/검사/회진)_부정'],[]
2854,간호사분들이 너무 친절하였습니다 ,['간호사_긍정'],
2866,대부분 친철하였습니다,['진료경험(진료/투약/검사/회진)_긍정'],
2878,원장님께서 친절하시고 환자가 불편한점들을 편안하게 이야기 할 수 있도록 잘들어주시고 설명을 잘 해 주셔서 감사했습니다 ,['의사_긍정'],
2880,병원내부 청결상태 양호,['시설/환경_긍정'],
2882,아픈 저희아이 치료해주셔서 정말감사합니다^^,['진료경험(진료/투약/검사/회진)_긍정'],
2886,"진료 원장님들은 매우 친절하게 상세히 설명을 조곤조곤 알아듣게 설명을 해 주시며 간호사분들도 대체적으로 친절하십니다. 그리고 접수.수납도 예전에 비해 많이 개선되었습니다.   개선할 내용은 얼마전에 수술이 있어 입원실 대기중이었눈데 이동침대를 가져와서. 수술을 하고 몇일 입원하고 계신 다른 환자에게, '수술실로 가자하니' 그 환자분도 의아해하면서 저 아니라고 이야기하니까, 저쪽이라고하니까 저한테 와서는 '왜 말 안하냐고'. 짜증을 내길래, 저도 '누가 수술하냐고 안 물었쟎아요'. 하면서 받아치니까 짜증 섞인 말로 하니까. 오히려 저더러"" 왜 짜증 내냐고'. 순서상으로 말하자면 '누가 수술하냐고 물어봐야 하는거 아닐까요'?
그리고 작은 수술이라하더라도 환자들은 예민 할수 밖에 없는거 아닐까요?
다른 직원들은 환자들에게 친절할려고 노력을 하는데 그 분(키 크고 마른 나이든 남자분, 무스바름)은 정말 불쾌했습니다. 주의를 주셨으면 합니다. 
그리고 수술실 들어가는 입구에 물건들이 많이 쌓여 있어서 침대가 가다가 부딪치고 불편했습니다.
참고하셔서 좋은 병원, 친절한 병원으로 인지도 있는 병원있으면 합니다.","['의사_긍정','간호사_긍정']","['의사_긍정','간호사_긍정','직원_긍정','직원_부정']"
2890,상담실장님이 편안하게 대화할수 있게 분위기를 이끌어 주시고 말씀 잘해 주셔서 좋았습니다!!,['직원_긍정'],
2892,주차문제만 속히 해결 해주시면 좋겠읍니다,['주차_부정'],
2898,믿음입니다,['진료경험(진료/투약/검사/회진)_긍정'],
2900,!!!,[],
2904,친절하게 대해 주시고 편안하게 진료 받을 수 있어서 감사했습니다,['진료경험(진료/투약/검사/회진)_긍정'],
2916,모든지원들은 친절했습니다,['직원_긍정'],
2920,수술방안에서 손잡아주신 간호사선생님 너무 감사드리고 다들 엄청 친절하시고 카운터분들도 잘 웃어주시고 친절하세요!,"['간호사_긍정','직원_긍정']",
2922,"빠른 진료와 환자에 대한 이해도를 높이기위한 협진 시스템도 타 병원의 시스템을 압도할만큼 신뢰할수 있었으며, 무엇보다도 환자의 입장에서 깊은 공감대를 형성할수 있을만큼의 설명과 치료가 조금이나마 아픔을 덜게 한것같아 깊은 감동을 안고 진료에 임할수 있었읍니다","['진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정']",
2926,의사진료시 잘 설명해주시고 병원 모든 시설및 청결도도 만족합니다.,"['의사_긍정','시설/환경_긍정']",
2928,"타.과의 협업또한 적극적으로 이루어져 마치 종합병원이 아닌듯 하게 빠른 진료와 수술, 관리를 받았습니다",['병원시스템_긍정'],
2932,입원실이 너무 청결하고 넓고 편합니다.간호사들도 친절하고  믿음이 가네요.,"['시설/환경_긍정','간호사_긍정']",
2936,"3동에  환경이바껴서 접수를하고
입구쪽 엘리베이터를 타려하면 너무느립니다.
알고보니 엘리베이터가 두대 운영하는데
환경이바뀌다보니 사람들이 적응이안되서
몰라서도 못타는경우가생깁니다
계단으로 힘든환자들도 입구쪽 엘리베이터만
타려고하니 많은 불편을호소합니다.",['시설/환경_부정'],
2938,의사 선생님이 친절하게 설명해주셨습니다 ,['의사_긍정'],
2940,"최동식원장님 과잉진료안하시고 바쁘셔도 늘 미소로 맞아주셔서 오랫동안 믿고 다니고있습니다.
",['의사_긍정'],
2946,좋았던점은 없습니다,['진료경험(진료/투약/검사/회진)_부정'],[]
2948,8동간호사님의<BR/>간호에감사합니다,['간호사_긍정'],
2949,편리하게 진료마치고 하니 특별한 좋은점이 생각이 안나네요.,['진료경험(진료/투약/검사/회진)_부정'],[]
2955,모든 분들 다 친절하고 좋아요!!!,['진료경험(진료/투약/검사/회진)_긍정'],
2957,저는 처음으로방문하여이예림선생님께진찰받고CT찍고 피검사를의뢰하고내일결과를보러갑니다 타병원보다 월등히좋음을직감하였고또한저는타병원에서는2~3회주사를놓고야찿는데제가오늘표간호사님은혈관을단번에찿아고마웠고김소연간호사님도단번에찿아 흡족하였읍니다 불만없고 기분좋은 진료였기에홍보하는데이바지하겠읍니다,"['의사_긍정','진료경험(진료/투약/검사/회진)_긍정','간호사_긍정']",
2959,"공사는 도대체 언제까지 하나요? 응급실 앞에라도 대체 주차공간은 있어야 하지 않을까요
응급실에서 머리를 부딪쳐 내원해도 인턴만 와서 환자보고 인턴은 본인이 제대로된 환자 사정조차 하지 않는데 너무 신뢰가 안 갑니다","['병원시스템_부정','주차_부정']",
2963,없습니다,[],
2965,작년에<BR/>조직검사하러수술실에들어갔을때<BR/>간호사가불편한곳없느냐고물었을때<BR/>춥다고했더니<BR/>추운것에대해얘기해주셨고<BR/>바로<BR/>하반신에앏은천을하나더덮어주신것같았는데<BR/>그때<BR/>따뜻하다는생각이들자마자기억은끝났고<BR/>누군가<BR/>나를<BR/>절실한마음으로애타게내이름을불러주었던분<BR/>그분의따뜻한손길에정신이들었습니다<BR/>그분들께<BR/>감사드립니다,['간호사_부정'],['간호사_긍정']
2968,"저는 응급실을 이용했는데 의사나간호사가
친절하지 않았습니다.교통사고를당해서갔는데위로는커녕 괜히 이것저것검사하면 본인만 힘들다는얘기가
첫마디였어요.교통사고로놀라서사고순간의아픔도기억나지않고단지생명에지장이없는지진단과검사를위해갔는데첫말에 상처받았고 본인이주인이아니니 환자를
대하는 태도가 그렇구나라는 생각이들었어요.
응급실가보고 담에 오지않아야겠다는생각을했어요.
원무과수납직원도 그닥친절하진않았어요ㅜㅜ",['의사_부정'],"['의사_부정','간호사_부정']"
2972,내부 시설 이용에 따른 안내 문구나 표지판이 조금 미흡한것 같습니다. ,['시설/환경_부정'],
2974,"간호사분들이  전반적으로 친절하여
매우 인상깊었습니다!",['간호사_긍정'],
2976,진료에 신뢰가 있고 청결한 실내가 좋았음,"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']",
2980,"병원시설이 깨끗하고 직원들의 안내와 친절이 
좋았어요","['시설/환경_긍정','직원_긍정']",
2986,"7/2일욜오전교통사고를당해서오후1시~1시반쯤응급실간호사와응급의학과의사가친절하지않았고
반갑게맞이하거나인사도없었어요.
의사가하는말이
이것저것검사다하면본인만힘들다는얘기를젤먼저했어요.난 단지 생명에지장이없는지 검사와진단을위해갔는데 친절함이나책임감주인의식이전무했어요
간호사들도 인사도없고 컴퓨터키보드치는것만구경하고왔네요
의사간호사다들별루였어요","['간호사_부정','의사_부정']",
3000,"전반적으로 음식이 맛있지 않고, 다양성이 부족했다",['시설/환경_부정'],
3006,"늦은 시간이었지만 친절하게 대해주시고
우는 아이 케어도 잘해주셨어요",['진료경험(진료/투약/검사/회진)_긍정'],
3010,안내 양의 친절과  진료  의사님의 처치술과 자세한  설명이 이해도를 높였습니다,"['의사_긍정','직원_긍정']",
3018,밖에 나와 손목에 나와있는 이름이 저의 이름이 아니였어요...,['병원시스템_부정'],[]
3024,"피 뽑는 분. MRI 찍는분.
너무 친절해서 감사했어요
병원 너무 깨끗했어요","['시설/환경_긍정','직원_긍정']",
3030,잘 해주심,['진료경험(진료/투약/검사/회진)_긍정'],
3044,다른 병원다닐때는 엄청 불친절했는데 여기 지인소개로 처음방문했다가 원장님과 코디분들의 대하세는 태도에 너무 만족해서 계속 다닐거같아요 ㅠㅠ 시설도 그렇고 대구에서 가장 완벽한 병원이 아니였나 싶어요 !,"['의사_긍정','직원_긍정']",
3050,친절한안내  ,['진료경험(진료/투약/검사/회진)_긍정'],
3054,8층 간호사분들이 너무 친절햇어서 감사했습니디,['간호사_긍정'],
3055,병원 밥이 너무 맛있었습니다.,['시설/환경_긍정'],
3064,"접수처리아다안내를잘해주위서편하게일을볼수가
있어.참조았다","['예약/접수/수납/입퇴원_긍정','병원시스템_긍정']",
3074,충북대 가면 안전한 생각이 든다 의료진이 확실한 진단으로 하기 때문이 아닐까요 교수님 건강하시길...♡,['의사_긍정'],
3080,친절하였습니다,['진료경험(진료/투약/검사/회진)_긍정'],
3088,의사의 진실한 태도와 성실함이 기억에 남습니다.,['의사_긍정'],
3102,대기 시간이 길어요.,['대기시간_부정'],
3104,진료시에교수님의 불친절,['의사_부정'],
3110,김윤기원장님너무친절하게해주셔서 다시한번감사드립니다 간호서비스 되어있는점이 너무좋았습니다 식사도관찮았고 모든면에 참괞찮은 병원이다라고 주위에 알려주려합니다,"['의사_긍정','간호사_긍정']","['의사_긍정','간호사_긍정','시설/환경_긍정']"
3116,내가 거주하는 주변에 있어서 편리하게 이용할수있어 다른과도 자주이용 하고 있어요. 항상 믿음이가는 종합병원 인것같아요.,['시설/환경_긍정'],
3122,"가깝고 비교적 종합적이고, 야간 진료도 받을수 있어 편리해서 좋습니다.","['시설/환경_긍정','병원시스템_긍정']",
3124,"모든면에서 만족합니다.
",['시설/환경_긍정'],[]
3128,"정형외과 박상원원장님 과 간호사는
정확하고 친절하게 내가 알고자 하는것을
설명해주고 첫재는 아픈곳 즉 무릅관절이
잘낫는 것이 최고임니다","['의사_긍정','간호사_긍정']",
3132,"직원들이 마스크를 쓰고 있고 누구라고 본인을 소개하지 않아 누구와 상담했는지 잘모르겠는데 모두 친절한것은 확실 합니다.
치료 받으러 매일 동일 시간대에 내원하는것도 아니다보니 담당이 정해져 있는지도 잘 모르겠습니다.",['직원_부정'],['직원_긍정']
3140,ㆍㆍㆍ,['병원시스템_부정'],[]
3152,"영상실에갈때 두려웠지만 이동시 간호사 선생닝꺼서 친절하게 설명해주시고 안정감을 주셔서 감사했다
모두들 너무 고생 하시고 환자들에게 진심으로 배려해주시고봉사하시는  모습들이  감사하고  고마웠다",['간호사_긍정'],
3154,친절하고설명을잘해주었음,['진료경험(진료/투약/검사/회진)_긍정'],
3156,"의료진들의 친절함,알기쉽게설명 해주시면서 항상 환자우선 를 우선시하는 모습이좋았습니다","['의사_긍정','간호사_긍정']",
3158,"교수님들도 좋으시고 간호사님들도 넘 친절하고좋으신 건양대병원이 집에서 도로하나 건너서 있다는게 얼마나 든든하고 ,자랑스럽기까지했는데 이번 입.퇴원이후로 마음이 많이 달라졌습니다.이전에는 정말 건양대병원이 좋았습니다.","['의사_긍정','간호사_긍정']",
3160,깨끗함,['시설/환경_긍정'],
3164,ㆍ<BR/>,['병원시스템_부정'],[]
3165,친절 정확 최고의의료진,['의사_긍정'],"['의사_긍정','간호사_긍정']"
3169,굿,['진료경험(진료/투약/검사/회진)_긍정'],[]
3173,아이가 바닦에 우유를 쏟아서 물티슈로 딱았는데 물티슈가 검게 변하지 않았어요. 그만큼 청소가 잘 되여 있다는거죠.간호사나 원무과 직원들도 친철하고 좋았어요.,"['간호사_긍정','직원_긍정']","['간호사_긍정','직원_긍정','시설/환경_긍정']"
3175,"화장실 청소는 언제하는지 알수없었다
소변기위 화장지는 3일이 지나도록 치우지않고 너무비위생적 이었다",['시설/환경_부정'],
3183,의료진은  친절하게 대해 주었음,"['의사_긍정','간호사_긍정']",
3187,"처음듣는검진센테인데 첫얼굴인 주차직원
 너무좋고 내원해보니
의료진 간호사님직원모두좋고
의료시설 최고 너무 믿음가고
다음에도 꼭  내원하고 지인들
소개하고싶은 마음입니다
감사합니다","['의사_긍정','간호사_긍정','직원_긍정']",
3195,"ㆍ안정감 있는 진료를 받음
ㆍ모두 친절함

ㆍ주차공간 부족
ㆍ검사실 주사실 등 ㅡ노인들은 찾기가 어려운 건물구조 ㅡA4 용지 도면을 보고 찾기 힘들었음

ㆍ약국이 옥내 또는 가까운 곳에 있다면 좋겠음","['시설/환경_부정','진료경험(진료/투약/검사/회진)_긍정','병원시스템_긍정','주차_부정']",
3197,우선 아픈 저를 치료해 주셔서 감사합니다 의사 선생님 간호사 선생님들 모든분께 정말 감사드려요 특히 간호사 선생님들의 친절함이 더욱 좋았습니다 병원도 깨끗하고 청결해서 좋았습니다 수고하세요,"['의사_긍정','시설/환경_긍정','간호사_긍정']",
3202,성모병원에 오래다녀서   편하고좋아요   내주치선생님도  편하고 간호사  님도좋고  다좋아요,"['의사_긍정','간호사_긍정']",
